id;question;answer_1;answer_2;answer_3;answer_4;correct_answer;Пояснение 
1;Какой из представленных ниже коктейлей не содержит джин?;Кловер Клад;Драй Мартини;Яблочный мартини;Дайкири;3;Классический Дайкири содержит ром, а вот в яблочном есть джин
2;На территории какого гастрономического пространства находится Народный бар LUDI?;Депо;StrEAT;Даниловский рынок;Усачёвский рынок;1;Народный бар LUDI открылся в июле 2022 года на территории гастрономической улицы StrEAT
3;В состав какого коктейля не входит ром? ;Пина Колада;Кайпиринья;Том Коллинз;Мохито;2;Классический Том Коллинз делается на основе джина
4;Кухня какой страны не представлена в меню народного бара LUDI? ;Японская;Паназиатская;Грузинская ;Азербайджанская;3;Всего в меню народного бара LUDI представлено более 10 национальных кохонь, но азербайджанская не входит в этот список
5;В честь кого/чего назван коктейль Негрони? ;Водопада в Америке;Героя книги Чака Поланика;Создателя;Бразильской деревни;2;Есть две легенды о создании этого горького коктейля. По одной из них коктейль придумал граф  Камилло Негрони в 1919, по другой же корсиканец Паскаль Оливейра де Негрони в 1857 году. В любом случае коктейль был назван по фамилии своего создателя. 
6;В народном баре LUDI выступило множество артистов. Кто в списке лишний? ;JONY;Дима Билан; Niletto;FEDUK;3;Дима Билан выступал 22 июля,  JONY дал концерт 5 августа, Niletto выступил на открытии 2 июля, а вот Feduk пока не выступал. 
7;Народный бар LUDI реализовал программу лояльности для своих гостей. Какая из перечисленных опций лишняя?;100% кешбэк на бар;50% скидка на бар;3 бесплатных коктейля для девушек;Все варианты верны;3;И 100% кешбэк, и 50%  скидка, и 3 коктейля для девушек - все перечисленные опции реализованы в народном баре LUDI. Подробнее на нашем сайте. 
8;Какие события проходят в Народном баре LUDI каждую неделю? ;StandUp;Трансляции футбола;Концерты и вечеринки;Все варианты ответов верны;3;Да, мы называем себя мультиформатными! Выбирай любое событие на свой вкус. Подробнее на сайте. 
9;Сколько баров в Народном баре LUDI?;2;3;4;5;2;3 бара на первом этаже и один на втором
10;В каком месяце открылся Народный бар LUDI?;Май;Июнь;Июль;Август;2;Открылся Народный бар LUDI 2 июля, на открытии выступил Niletto
11;Сколько стоит капучино в Народном баре  LUDI? ;100;125;150;250;2;100% арабика вего-то за 150 руб.
12;Что из перечисленного нет в техническом райдере Народного бара LUDI?;Светодиодный экран;Плазменные панели;Проекторы;Все варианты ответов верны;3;Всё есть! 
13;Какое слово пропущено в названии нашего бара: ___________бар  LUDI?;Родной;Людской;Народный;Международный;2;Это было легко
14;Какого вина нет в меню народного бара LUDI? ;Оранжевого ;Сливогого;Белого;Красного;1;Может и добавим если попросите
15;Какого десерта нет в меню Народного бара LUDI? ;Брауни;Чизкейк с взрывной карамелью;Пирожное манго-маракуйя;Все варианты ответов верны;3;У нас десерты на любой вкус
16;Какой персонаж мультфильма нарисован на одной из стен Народного бара LUDI?;Микки Маус;Спанч Боб;Гуфи;Шрэк;1;Да, именно его нарисовали дизайнеры. 
17;В какой день недели чаще всего мы устраиваем детские праздники? ;Суббота;Воскресенье ;Пятница ;Вторник;1;Детские шоу, концерты и другие активности для детей мы организовываем чаще всего по воскресеньям. Приходите к нам со своими детишками!
18;Какая вариация коктейля Негрони представлена в меню Народном баре LUDI?;Negroni Tea;Negroni Coffee;Negroni Choco;Negroni Mescalitio;1;Все очень хвалят наш твист на эту классику!
